Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,branch-s3b7,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Age,Store: Undergraduate,Store: English_Fluency,Store: Sex,Store: Gender,branch-dgjt
11,1753549043017,26/07/2025 16:57,1753552643017,1,26/07/2025 18:57,234742,9,questionnaire-hpzd,,48326620,BLINDED,13878626,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 137.0.0.0,1366x768,1366x633,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,Page 1,qbmvn3,1,"
**Which gender do you identify as?**",response,quantised,2,,1|2|3|3,Gender,3,object-4,1,,,,,Voucher
12,1753549043017,26/07/2025 16:57,1753552643017,1,26/07/2025 18:57,234742,9,questionnaire-hpzd,,48326620,BLINDED,13878626,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 137.0.0.0,1366x768,1366x633,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,,,,Age,response,score,1,,,,,,,,,,,Voucher
13,1753549043019,26/07/2025 16:57,1753552643019,1,26/07/2025 18:57,234742,9,questionnaire-hpzd,,48326620,BLINDED,13878626,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 137.0.0.0,1366x768,1366x633,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,,,,,info,,END,13101,,,,,,,,,,Voucher
1,1753627112159,27/07/2025 14:38,1753630712159,1,27/07/2025 16:38,234742,9,questionnaire-hpzd,,48335768,BLINDED,13880418,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1536x864,1528x639,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,,,,,,Voucher
7,1753627119002,27/07/2025 14:38,1753630719002,1,27/07/2025 16:38,234742,9,questionnaire-hpzd,,48335768,BLINDED,13880418,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1536x864,1528x639,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,Page 1,qbmvn3,1,"
**What is your age? You need to be at least 17 years old and no older than 35 years to participate. Please select one option from the dropdown menu.**

",response,value,25,,17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Age,2,object-17,1,,,,,Voucher
8,1753627119002,27/07/2025 14:38,1753630719002,1,27/07/2025 16:38,234742,9,questionnaire-hpzd,,48335768,BLINDED,13880418,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1536x864,1528x639,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,Page 1,qbmvn3,1,"
**What is your age? You need to be at least 17 years old and no older than 35 years to participate. Please select one option from the dropdown menu.**

",response,quantised,9,,17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Age,2,object-17,1,,,,,Voucher
9,1753627119002,27/07/2025 14:38,1753630719002,1,27/07/2025 16:38,234742,9,questionnaire-hpzd,,48335768,BLINDED,13880418,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1536x864,1528x639,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,Page 1,qbmvn3,1,"
**Which gender do you identify as?**",response,value,2,,1|2|3|3,Gender,3,object-4,1,,,,,Voucher
10,1753627119003,27/07/2025 14:38,1753630719003,1,27/07/2025 16:38,234742,9,questionnaire-hpzd,,48335768,BLINDED,13880418,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1536x864,1528x639,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,Page 1,qbmvn3,1,"
**Which gender do you identify as?**",response,quantised,2,,1|2|3|3,Gender,3,object-4,1,,,,,Voucher
11,1753627119004,27/07/2025 14:38,1753630719004,1,27/07/2025 16:38,234742,9,questionnaire-hpzd,,48335768,BLINDED,13880418,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1536x864,1528x639,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,,,,Age,response,score,1,,,,,,,,,,,Voucher
12,1753627119005,27/07/2025 14:38,1753630719005,1,27/07/2025 16:38,234742,9,questionnaire-hpzd,,48335768,BLINDED,13880418,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 137.0.0.0,1536x864,1528x639,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,,,,,info,,END,6769,,,,,,,,,,Voucher
1,1753673225866,28/07/2025 03:27,1753676825866,1,28/07/2025 05:27,234742,9,questionnaire-hpzd,,48340473,BLINDED,13881637,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1707x1067,1707x898,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,,,,,,Voucher
7,1753673233137,28/07/2025 03:27,1753676833137,1,28/07/2025 05:27,234742,9,questionnaire-hpzd,,48340473,BLINDED,13881637,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1707x1067,1707x898,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**What is your age? You need to be at least 17 years old and no older than 35 years to participate. Please select one option from the dropdown menu.**

",response,value,26,,17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Age,2,object-17,1,,,,,Voucher
8,1753673233137,28/07/2025 03:27,1753676833137,1,28/07/2025 05:27,234742,9,questionnaire-hpzd,,48340473,BLINDED,13881637,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1707x1067,1707x898,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**What is your age? You need to be at least 17 years old and no older than 35 years to participate. Please select one option from the dropdown menu.**

",response,quantised,10,,17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Age,2,object-17,1,,,,,Voucher
9,1753673233138,28/07/2025 03:27,1753676833138,1,28/07/2025 05:27,234742,9,questionnaire-hpzd,,48340473,BLINDED,13881637,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1707x1067,1707x898,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**Which gender do you identify as?**",response,value,2,,1|2|3|3,Gender,3,object-4,1,,,,,Voucher
10,1753673233138,28/07/2025 03:27,1753676833138,1,28/07/2025 05:27,234742,9,questionnaire-hpzd,,48340473,BLINDED,13881637,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1707x1067,1707x898,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**Which gender do you identify as?**",response,quantised,2,,1|2|3|3,Gender,3,object-4,1,,,,,Voucher
11,1753673233138,28/07/2025 03:27,1753676833138,1,28/07/2025 05:27,234742,9,questionnaire-hpzd,,48340473,BLINDED,13881637,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1707x1067,1707x898,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,,,,Age,response,score,1,,,,,,,,,,,Voucher
12,1753673233139,28/07/2025 03:27,1753676833139,1,28/07/2025 05:27,234742,9,questionnaire-hpzd,,48340473,BLINDED,13881637,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1707x1067,1707x898,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,,,,,info,,END,7219,,,,,,,,,,Voucher
1,1753700447869,28/07/2025 11:00,1753704047869,1,28/07/2025 13:00,234742,9,questionnaire-hpzd,,48346887,BLINDED,13883538,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,,,,,,Voucher
8,1753700456801,28/07/2025 11:00,1753704056801,1,28/07/2025 13:00,234742,9,questionnaire-hpzd,,48346887,BLINDED,13883538,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**What is your age? You need to be at least 17 years old and no older than 35 years to participate. Please select one option from the dropdown menu.**

",response,value,18,,17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Age,2,object-17,1,,,,,Voucher
9,1753700456801,28/07/2025 11:00,1753704056801,1,28/07/2025 13:00,234742,9,questionnaire-hpzd,,48346887,BLINDED,13883538,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**What is your age? You need to be at least 17 years old and no older than 35 years to participate. Please select one option from the dropdown menu.**

",response,quantised,2,,17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Age,2,object-17,1,,,,,Voucher
10,1753700456802,28/07/2025 11:00,1753704056802,1,28/07/2025 13:00,234742,9,questionnaire-hpzd,,48346887,BLINDED,13883538,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**Which gender do you identify as?**",response,value,2,,1|2|3|3,Gender,3,object-4,1,,,,,Voucher
11,1753700456803,28/07/2025 11:00,1753704056803,1,28/07/2025 13:00,234742,9,questionnaire-hpzd,,48346887,BLINDED,13883538,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**Which gender do you identify as?**",response,quantised,2,,1|2|3|3,Gender,3,object-4,1,,,,,Voucher
12,1753700456803,28/07/2025 11:00,1753704056803,1,28/07/2025 13:00,234742,9,questionnaire-hpzd,,48346887,BLINDED,13883538,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,,,,Age,response,score,1,,,,,,,,,,,Voucher
13,1753700456805,28/07/2025 11:00,1753704056805,1,28/07/2025 13:00,234742,9,questionnaire-hpzd,,48346887,BLINDED,13883538,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1536x864,1528x708,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,,,,,info,,END,8877,,,,,,,,,,Voucher
1,1753705471955,28/07/2025 12:24,1753712671955,2,28/07/2025 16:24,234742,9,questionnaire-hpzd,,48348919,BLINDED,13884078,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1371x724,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,,,,,,Voucher
7,1753705480180,28/07/2025 12:24,1753712680180,2,28/07/2025 16:24,234742,9,questionnaire-hpzd,,48348919,BLINDED,13884078,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1371x724,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,Page 1,qbmvn3,1,"
**What is your age? You need to be at least 17 years old and no older than 35 years to participate. Please select one option from the dropdown menu.**

",response,value,28,,17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Age,2,object-17,1,,,,,Voucher
8,1753705480181,28/07/2025 12:24,1753712680181,2,28/07/2025 16:24,234742,9,questionnaire-hpzd,,48348919,BLINDED,13884078,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1371x724,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,Page 1,qbmvn3,1,"
**What is your age? You need to be at least 17 years old and no older than 35 years to participate. Please select one option from the dropdown menu.**

",response,quantised,12,,17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Age,2,object-17,1,,,,,Voucher
9,1753705480181,28/07/2025 12:24,1753712680181,2,28/07/2025 16:24,234742,9,questionnaire-hpzd,,48348919,BLINDED,13884078,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1371x724,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,Page 1,qbmvn3,1,"
**Which gender do you identify as?**",response,value,2,,1|2|3|3,Gender,3,object-4,1,,,,,Voucher
10,1753705480181,28/07/2025 12:24,1753712680181,2,28/07/2025 16:24,234742,9,questionnaire-hpzd,,48348919,BLINDED,13884078,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1371x724,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,Page 1,qbmvn3,1,"
**Which gender do you identify as?**",response,quantised,2,,1|2|3|3,Gender,3,object-4,1,,,,,Voucher
11,1753705480182,28/07/2025 12:24,1753712680182,2,28/07/2025 16:24,234742,9,questionnaire-hpzd,,48348919,BLINDED,13884078,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1371x724,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,,,,Age,response,score,1,,,,,,,,,,,Voucher
12,1753705480182,28/07/2025 12:24,1753712680182,2,28/07/2025 16:24,234742,9,questionnaire-hpzd,,48348919,BLINDED,13884078,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1371x724,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,,,,,info,,END,8180,,,,,,,,,,Voucher
1,1753707255132,28/07/2025 12:54,1753710855132,1,28/07/2025 14:54,234742,9,questionnaire-hpzd,,48349621,BLINDED,13884260,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x953,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,,,,,,Voucher
7,1753707260890,28/07/2025 12:54,1753710860890,1,28/07/2025 14:54,234742,9,questionnaire-hpzd,,48349621,BLINDED,13884260,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x953,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**What is your age? You need to be at least 17 years old and no older than 35 years to participate. Please select one option from the dropdown menu.**

",response,value,25,,17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Age,2,object-17,1,,,,,Voucher
8,1753707260890,28/07/2025 12:54,1753710860890,1,28/07/2025 14:54,234742,9,questionnaire-hpzd,,48349621,BLINDED,13884260,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x953,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**What is your age? You need to be at least 17 years old and no older than 35 years to participate. Please select one option from the dropdown menu.**

",response,quantised,9,,17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Age,2,object-17,1,,,,,Voucher
9,1753707260890,28/07/2025 12:54,1753710860890,1,28/07/2025 14:54,234742,9,questionnaire-hpzd,,48349621,BLINDED,13884260,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x953,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**Which gender do you identify as?**",response,value,2,,1|2|3|3,Gender,3,object-4,1,,,,,Voucher
10,1753707260891,28/07/2025 12:54,1753710860891,1,28/07/2025 14:54,234742,9,questionnaire-hpzd,,48349621,BLINDED,13884260,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x953,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**Which gender do you identify as?**",response,quantised,2,,1|2|3|3,Gender,3,object-4,1,,,,,Voucher
11,1753707260891,28/07/2025 12:54,1753710860891,1,28/07/2025 14:54,234742,9,questionnaire-hpzd,,48349621,BLINDED,13884260,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x953,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,,,,Age,response,score,1,,,,,,,,,,,Voucher
12,1753707260891,28/07/2025 12:54,1753710860891,1,28/07/2025 14:54,234742,9,questionnaire-hpzd,,48349621,BLINDED,13884260,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x953,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,,,,,info,,END,5725,,,,,,,,,,Voucher
1,1753710990686,28/07/2025 13:56,1753714590686,1,28/07/2025 15:56,234742,9,questionnaire-hpzd,,48350700,BLINDED,13884574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x911,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,,,,,,Voucher
7,1753710996531,28/07/2025 13:56,1753714596531,1,28/07/2025 15:56,234742,9,questionnaire-hpzd,,48350700,BLINDED,13884574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x911,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**What is your age? You need to be at least 17 years old and no older than 35 years to participate. Please select one option from the dropdown menu.**

",response,value,21,,17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Age,2,object-17,1,,,,,Voucher
8,1753710996531,28/07/2025 13:56,1753714596531,1,28/07/2025 15:56,234742,9,questionnaire-hpzd,,48350700,BLINDED,13884574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x911,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**What is your age? You need to be at least 17 years old and no older than 35 years to participate. Please select one option from the dropdown menu.**

",response,quantised,5,,17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Age,2,object-17,1,,,,,Voucher
9,1753710996531,28/07/2025 13:56,1753714596531,1,28/07/2025 15:56,234742,9,questionnaire-hpzd,,48350700,BLINDED,13884574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x911,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**Which gender do you identify as?**",response,value,1,,1|2|3|3,Gender,3,object-4,1,,,,,Voucher
10,1753710996531,28/07/2025 13:56,1753714596531,1,28/07/2025 15:56,234742,9,questionnaire-hpzd,,48350700,BLINDED,13884574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x911,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**Which gender do you identify as?**",response,quantised,1,,1|2|3|3,Gender,3,object-4,1,,,,,Voucher
11,1753710996531,28/07/2025 13:56,1753714596531,1,28/07/2025 15:56,234742,9,questionnaire-hpzd,,48350700,BLINDED,13884574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x911,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,,,,Age,response,score,1,,,,,,,,,,,Voucher
12,1753710996532,28/07/2025 13:56,1753714596532,1,28/07/2025 15:56,234742,9,questionnaire-hpzd,,48350700,BLINDED,13884574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1920x1080,1920x911,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,,,,,info,,END,5812,,,,,,,,,,Voucher
1,1753711003539,28/07/2025 13:56,1753714603539,1,28/07/2025 15:56,234742,9,questionnaire-hpzd,,48350703,BLINDED,13884575,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1440x900,1440x820,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,,,,,,Voucher
7,1753711010418,28/07/2025 13:56,1753714610418,1,28/07/2025 15:56,234742,9,questionnaire-hpzd,,48350703,BLINDED,13884575,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1440x900,1440x820,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,Page 1,qbmvn3,1,"
**What is your age? You need to be at least 17 years old and no older than 35 years to participate. Please select one option from the dropdown menu.**

",response,value,22,,17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Age,2,object-17,1,,,,,Voucher
8,1753711010418,28/07/2025 13:56,1753714610418,1,28/07/2025 15:56,234742,9,questionnaire-hpzd,,48350703,BLINDED,13884575,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1440x900,1440x820,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,Page 1,qbmvn3,1,"
**What is your age? You need to be at least 17 years old and no older than 35 years to participate. Please select one option from the dropdown menu.**

",response,quantised,6,,17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Age,2,object-17,1,,,,,Voucher
9,1753711010418,28/07/2025 13:56,1753714610418,1,28/07/2025 15:56,234742,9,questionnaire-hpzd,,48350703,BLINDED,13884575,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1440x900,1440x820,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,Page 1,qbmvn3,1,"
**Which gender do you identify as?**",response,value,2,,1|2|3|3,Gender,3,object-4,1,,,,,Voucher
10,1753711010418,28/07/2025 13:56,1753714610418,1,28/07/2025 15:56,234742,9,questionnaire-hpzd,,48350703,BLINDED,13884575,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1440x900,1440x820,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,Page 1,qbmvn3,1,"
**Which gender do you identify as?**",response,quantised,2,,1|2|3|3,Gender,3,object-4,1,,,,,Voucher
11,1753711010418,28/07/2025 13:56,1753714610418,1,28/07/2025 15:56,234742,9,questionnaire-hpzd,,48350703,BLINDED,13884575,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1440x900,1440x820,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,,,,Age,response,score,1,,,,,,,,,,,Voucher
12,1753711010419,28/07/2025 13:56,1753714610419,1,28/07/2025 15:56,234742,9,questionnaire-hpzd,,48350703,BLINDED,13884575,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.4,1440x900,1440x820,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,,,,,info,,END,6835,,,,,,,,,,Voucher
1,1753737030459,28/07/2025 21:10,1753740630459,1,28/07/2025 23:10,234742,9,questionnaire-hpzd,,48362000,BLINDED,13886867,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1504x1003,1496x877,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,,,,,info,,BEGIN,,,,,,,,,,,Voucher
8,1753737067782,28/07/2025 21:11,1753740667782,1,28/07/2025 23:11,234742,9,questionnaire-hpzd,,48362000,BLINDED,13886867,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1504x1003,1496x877,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,Page 1,qbmvn3,1,"
**What is your age? You need to be at least 17 years old and no older than 35 years to participate. Please select one option from the dropdown menu.**

",response,value,22,,17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Age,2,object-17,1,,,,,Voucher
9,1753737067783,28/07/2025 21:11,1753740667783,1,28/07/2025 23:11,234742,9,questionnaire-hpzd,,48362000,BLINDED,13886867,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1504x1003,1496x877,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,Page 1,qbmvn3,1,"
**What is your age? You need to be at least 17 years old and no older than 35 years to participate. Please select one option from the dropdown menu.**

",response,quantised,6,,17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Age,2,object-17,1,,,,,Voucher
10,1753737067783,28/07/2025 21:11,1753740667783,1,28/07/2025 23:11,234742,9,questionnaire-hpzd,,48362000,BLINDED,13886867,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1504x1003,1496x877,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,Page 1,qbmvn3,1,"
**Which gender do you identify as?**",response,value,2,,1|2|3|3,Gender,3,object-4,1,,,,,Voucher
11,1753737067783,28/07/2025 21:11,1753740667783,1,28/07/2025 23:11,234742,9,questionnaire-hpzd,,48362000,BLINDED,13886867,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1504x1003,1496x877,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,Page 1,qbmvn3,1,"
**Which gender do you identify as?**",response,quantised,2,,1|2|3|3,Gender,3,object-4,1,,,,,Voucher
12,1753737067784,28/07/2025 21:11,1753740667784,1,28/07/2025 23:11,234742,9,questionnaire-hpzd,,48362000,BLINDED,13886867,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1504x1003,1496x877,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,,,,Age,response,score,1,,,,,,,,,,,Voucher
13,1753737067784,28/07/2025 21:11,1753740667784,1,28/07/2025 23:11,234742,9,questionnaire-hpzd,,48362000,BLINDED,13886867,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 138.0.0.0,1504x1003,1496x877,,,0,Demographics Questionnaire ,10,probe_selfreport,Eligible,,,,,info,,END,37287,,,,,,,,,,Voucher
1,1753781345959,29/07/2025 09:29,1753784945959,1,29/07/2025 11:29,234742,9,questionnaire-hpzd,,48384184,BLINDED,13889770,,rejected - time limit reached,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x551,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,,,,,info,,BEGIN,,,,,,,,,,,No Voucher
7,1753781351528,29/07/2025 09:29,1753784951528,1,29/07/2025 11:29,234742,9,questionnaire-hpzd,,48384184,BLINDED,13889770,,rejected - time limit reached,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x551,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**What is your age? You need to be at least 17 years old and no older than 35 years to participate. Please select one option from the dropdown menu.**

",response,value,22,,17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Age,2,object-17,1,,,,,No Voucher
8,1753781351528,29/07/2025 09:29,1753784951528,1,29/07/2025 11:29,234742,9,questionnaire-hpzd,,48384184,BLINDED,13889770,,rejected - time limit reached,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x551,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**What is your age? You need to be at least 17 years old and no older than 35 years to participate. Please select one option from the dropdown menu.**

",response,quantised,6,,17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35,Age,2,object-17,1,,,,,No Voucher
9,1753781351528,29/07/2025 09:29,1753784951528,1,29/07/2025 11:29,234742,9,questionnaire-hpzd,,48384184,BLINDED,13889770,,rejected - time limit reached,,,computer,Desktop or Laptop,Windows 10,Chrome 138.0.0.0,1280x720,1280x551,,,0,Demographics Questionnaire ,10,selfreport_probe,Eligible,Page 1,qbmvn3,1,"
**Which gender do you identify as?**",response,value,2,,1|2|3|3,Gender,3,object-4,1,,,,,No Voucher
